Time,X Coordinate,Y Coordinate,Distance
06-03 02:57:23,84,63,1.0
06-03 02:57:24,84,62,1.0
06-03 02:57:24,85,62,1.0
06-03 02:57:24,84,63,1.4142135623730951
06-03 02:57:25,84,62,1.0
06-03 02:57:25,85,62,1.0
06-03 02:57:27,86,62,1.0
06-03 02:57:28,86,62,0.0
06-03 02:57:28,35,63,51.0098029794274
06-03 02:57:29,35,63,0.0
06-03 02:57:29,36,63,1.0
06-03 02:57:30,36,63,0.0
06-03 02:57:32,37,63,1.0
06-03 02:57:33,37,63,0.0
06-03 02:57:35,37,63,0.0
06-03 02:57:36,37,63,0.0
06-03 02:57:36,38,64,1.4142135623730951
06-03 02:57:38,38,64,0.0
06-03 02:57:39,40,64,2.0
06-03 02:57:40,40,64,0.0
06-03 02:57:41,41,64,1.0
06-03 02:57:42,41,64,0.0
06-03 02:57:44,93,60,52.15361924162119
06-03 02:57:45,93,59,1.0
06-03 02:57:45,93,60,1.0
06-03 02:57:46,93,59,1.0
06-03 02:57:46,94,59,1.0
06-03 02:57:47,94,59,0.0
